Accuracy,Cost,F1,Name,Precision,Recall,Savings
0.9970862898407941,4628.03,0.5017921146953406,LogisticRegression-threshold-opt,0.356234096692112,0.8484848484848485,0.6960923694594511
0.9991510412845479,5708.01,0.7507692307692306,DecisionTree-threshold-opt-calibration,0.7625,0.7393939393939394,0.6251736064369162
0.9991510412845479,5708.01,0.7507692307692306,DecisionTree-threshold-opt,0.7625,0.7393939393939394,0.6251736064369162
0.9995178752973976,4384.27,0.8516129032258064,RandomForest-threshold-opt-calibration,0.9103448275862069,0.8,0.7120992933602391
0.9995178752973976,4384.27,0.8516129032258064,RandomForest-threshold-opt,0.9103448275862069,0.8,0.7120992933602391
0.9991195983691608,4471.66,0.7679558011049723,XGBoost-threshold-opt-calibration,0.7055837563451777,0.8424242424242424,0.7063606771816624
0.997798995922902,4473.1900000000005,0.5748987854251011,XGBoost-threshold-opt,0.4316109422492401,0.8606060606060606,0.7062602070734896
0.9974321619100524,4345.56,0.36692506459948326,LogisticRegression-bmr-calibration,0.31981981981981983,0.4303030303030303,0.7146412527637487
0.9969081133202671,4499.39,0.3123543123543123,LogisticRegression-bmr,0.2537878787878788,0.40606060606060607,0.7045397385544518
0.9986689165819455,5585.96,0.5019607843137256,DecisionTree-bmr-calibration,0.7111111111111111,0.3878787878787879,0.6331882317326628
0.9987422833845154,5568.46,0.5161290322580645,DecisionTree-bmr,0.7710843373493976,0.3878787878787879,0.6343373996366002
0.9986793975537411,4083.0,0.5367647058823529,RandomForest-bmr-calibration,0.6822429906542056,0.44242424242424244,0.7318827113270525
0.99680330360231,4435.51,0.3267108167770419,RandomForest-bmr,0.2569444444444444,0.4484848484848485,0.7087345297375103
0.9957237635073524,3602.53,0.27142857142857146,XGBoost-bmr-calibration,0.19240506329113924,0.46060606060606063,0.7634336086301853
0.9959438639150622,3569.9300000000003,0.27932960893854747,XGBoost-bmr,0.20161290322580644,0.45454545454545453,0.7655743442683773
